,Centros residenciales públicos según tamaño del centro (plazas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,,,,,,,,,,2017,,,,,,,,,,2015,,,,,,,,,,2013,,,,,,,,,,2012,,,,,,,,,,2011,,,,,,,,,,2010,,,,,,,,,,2009,,,,,,,,,,2008,,,,,,,,,,2007,,,,,,,,,,2006,,,,,,,,,,2005,,,,,,,,,,2004,,,,,,,,
,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,
,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL
,TOTAL,1573,1569,4,,429,416,427,297,1569,,1530,1523,7,,429,393,402,299,1523,,1510,1489,21,,422,383,395,289,1489,,1475,1451,24,,431,362,379,279,1451,,1493,1461,32,,458,356,365,282,1461,,1456,1427,29,,459,354,343,271,1427,,1412,1374,38,,446,333,328,267,1374,,1310,1278,32,,398,310,314,256,1278,,1275,1224,51,,391,298,300,235,1224,,1178,1140,38,,363,280,280,217,1140,,1199,1082,117,,328,268,278,208,1082,,,,,,,,,,,,,,,,,,,,
,Andalucía,156,155,1,,21,61,45,28,155,,158,155,3,,22,61,45,27,155,,159,148,11,,18,60,44,26,148,,156,142,14,,17,60,39,26,142,,159,137,22,,21,57,34,25,137,,160,146,14,,24,62,36,24,146,,160,141,19,,24,59,35,23,141,,149,138,11,,25,56,33,24,138,,148,128,20,,24,54,30,20,128,,140,129,11,,24,52,31,22,129,,138,112,26,,19,45,30,18,112,,,,,,,,,,,,,,,,,,,,
,Almería,18,18,0,,1,8,3,6,18,,18,17,1,,0,7,4,6,17,,19,18,1,,0,9,3,6,18,,19,18,1,,0,9,3,6,18,,19,18,1,,1,8,3,6,18,,19,18,1,,2,8,3,5,18,,20,18,2,,3,7,3,5,18,,18,18,0,,3,8,2,5,18,,16,15,1,,3,6,2,4,15,,15,15,0,,3,6,2,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cádiz,18,18,0,,2,7,5,4,18,,20,19,1,,2,8,5,4,19,,19,19,0,,2,8,5,4,19,,18,17,1,,2,8,4,3,17,,19,18,1,,4,8,3,3,18,,20,20,0,,5,8,3,4,20,,21,21,0,,6,8,4,3,21,,19,19,0,,6,7,4,2,19,,23,20,3,,5,9,4,2,20,,24,21,3,,6,9,4,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Córdoba,24,24,0,,4,11,8,1,24,,24,24,0,,5,10,8,1,24,,23,22,1,,4,10,7,1,22,,21,21,0,,4,9,7,1,21,,21,20,1,,4,9,6,1,20,,23,22,1,,4,11,6,1,22,,22,21,1,,3,12,5,1,21,,20,19,1,,3,11,4,1,19,,20,17,3,,3,10,3,1,17,,20,18,2,,3,10,4,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Granada,22,22,0,,2,6,9,5,22,,22,21,1,,2,6,9,4,21,,21,19,2,,2,5,9,3,19,,21,18,3,,2,7,6,3,18,,20,15,5,,2,7,4,2,15,,16,14,2,,1,6,5,2,14,,15,13,2,,1,5,5,2,13,,14,13,1,,1,4,5,3,13,,15,14,1,,1,5,5,3,14,,14,14,,,1,4,5,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Huelva,5,5,0,,1,3,0,1,5,,5,5,0,,1,3,0,1,5,,6,6,0,,2,3,0,1,6,,5,4,1,,0,3,0,1,4,,5,3,2,,0,2,0,1,3,,8,7,1,,2,4,0,1,7,,8,7,1,,2,4,0,1,7,,9,7,2,,2,4,0,1,7,,9,7,2,,2,4,0,1,7,,8,6,2,,1,4,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jaén,28,28,0,,4,10,11,3,28,,28,28,0,,4,10,11,3,28,,28,27,1,,3,11,10,3,27,,29,28,1,,3,12,9,4,28,,30,26,4,,4,11,7,4,26,,30,26,4,,4,11,7,4,26,,30,24,6,,4,10,6,4,24,,27,23,4,,4,9,6,4,23,,25,21,4,,4,9,5,3,21,,23,22,1,,5,8,5,4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Málaga,17,16,1,,4,4,3,5,16,,17,17,0,,5,4,3,5,17,,17,14,3,,2,4,3,5,14,,18,14,4,,2,4,3,5,14,,19,15,4,,3,3,4,5,15,,20,15,5,,3,4,4,4,15,,20,15,5,,3,4,4,4,15,,19,17,2,,4,5,4,4,17,,18,16,2,,4,4,4,4,16,,17,15,2,,3,4,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sevilla,24,24,0,,3,12,6,3,24,,24,24,0,,3,13,5,3,24,,26,23,3,,3,10,7,3,23,,25,22,3,,4,8,7,3,22,,26,22,4,,3,9,7,3,22,,24,24,0,,3,10,8,3,24,,24,22,2,,2,9,8,3,22,,23,22,1,,2,8,8,4,22,,22,18,4,,2,7,7,2,18,,19,18,1,,2,7,7,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aragón,85,85,0,,11,19,40,15,85,,84,84,0,,12,18,39,15,84,,77,77,0,,8,18,38,13,77,,80,80,0,,13,16,38,13,80,,80,80,0,,14,17,35,14,80,,81,81,0,,14,17,35,15,81,,73,73,0,,13,14,34,12,73,,70,70,0,,13,14,33,10,70,,65,64,1,,12,11,31,10,64,,61,61,0,,12,12,27,10,61,,66,65,1,,12,15,27,11,65,,,,,,,,,,,,,,,,,,,,
,Huesca,20,20,0,,2,3,12,3,20,,21,21,0,,3,3,12,3,21,,20,20,0,,2,3,12,3,20,,22,22,0,,4,3,12,3,22,,21,21,0,,4,4,10,3,21,,22,22,0,,4,4,10,4,22,,23,23,0,,4,6,9,4,23,,22,22,0,,4,6,9,3,22,,21,20,1,,3,5,9,3,20,,19,19,0,,3,5,8,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Teruel,21,21,0,,4,5,11,1,21,,20,20,0,,4,5,10,1,20,,18,18,0,,2,6,9,1,18,,20,20,0,,5,4,10,1,20,,21,21,0,,5,4,11,1,21,,21,21,0,,5,4,11,1,21,,20,20,0,,4,4,11,1,20,,20,20,0,,4,4,11,1,20,,18,18,0,,4,2,11,1,18,,17,17,0,,4,2,10,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zaragoza,44,44,0,,5,11,17,11,44,,43,43,0,,5,10,17,11,43,,39,39,0,,4,9,17,9,39,,38,38,0,,4,9,16,9,38,,38,38,0,,5,9,14,10,38,,38,38,0,,5,9,14,10,38,,30,30,0,,5,4,14,7,30,,28,28,0,,5,4,13,6,28,,26,26,0,,5,4,11,6,26,,25,25,0,,5,5,9,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asturias (Principado de),43,43,0,,7,4,19,13,43,,42,42,0,,7,5,18,12,42,,41,39,2,,8,4,18,9,39,,41,38,3,,7,3,19,9,38,,39,35,4,,9,1,16,9,35,,35,32,3,,8,1,15,8,32,,30,30,0,,9,1,12,8,30,,30,30,0,,9,1,12,8,30,,30,30,0,,9,1,12,8,30,,25,25,0,,9,0,9,7,25,,26,26,0,,8,1,12,5,26,,,,,,,,,,,,,,,,,,,,
,Balears (Illes),29,29,0,,5,11,9,4,29,,30,29,1,,4,10,11,4,29,,30,29,1,,4,9,12,4,29,,28,28,0,,4,9,11,4,28,,29,29,0,,5,9,11,4,29,,28,28,0,,5,9,10,4,28,,24,23,1,,5,6,8,4,23,,23,23,0,,5,6,8,4,23,,22,22,0,,5,6,7,4,22,,23,23,0,,4,7,8,4,23,,26,26,0,,5,8,9,4,26,,,,,,,,,,,,,,,,,,,,
,Canarias,57,57,0,,14,18,15,10,57,,60,59,1,,16,18,15,10,59,,52,50,2,,13,15,13,9,50,,45,44,1,,14,11,12,7,44,,43,42,1,,14,10,11,7,42,,42,41,1,,14,10,10,7,41,,41,40,1,,14,9,10,7,40,,37,34,3,,13,8,5,8,34,,34,31,3,,13,6,6,6,31,,38,34,4,,14,6,7,7,34,,33,28,5,,11,5,5,7,28,,,,,,,,,,,,,,,,,,,,
,Palmas (Las),22,22,0,,3,8,7,4,22,,22,22,0,,3,8,7,4,22,,22,22,0,,3,8,7,4,22,,20,20,0,,4,7,6,3,20,,20,20,0,,4,7,6,3,20,,20,20,0,,4,7,6,3,20,,19,19,0,,4,6,6,3,19,,16,15,1,,4,5,2,4,15,,15,14,1,,4,5,3,2,14,,16,15,1,,3,5,4,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santa Cruz de Tenerife,35,35,0,,11,10,8,6,35,,38,37,1,,13,10,8,6,37,,30,28,2,,10,7,6,5,28,,25,24,1,,10,4,6,4,24,,23,22,1,,10,3,5,4,22,,22,21,1,,10,3,4,4,21,,22,21,1,,10,3,4,4,21,,21,19,2,,9,3,3,4,19,,19,17,2,,9,1,3,4,17,,22,19,3,,11,1,3,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cantabria,11,11,0,,3,1,4,3,11,,11,11,0,,3,2,3,3,11,,12,12,0,,3,2,3,4,12,,9,9,0,,3,2,2,2,9,,8,8,0,,2,1,2,3,8,,8,8,0,,2,1,2,3,8,,8,8,0,,2,1,2,3,8,,8,8,0,,2,1,2,3,8,,8,8,0,,2,1,2,3,8,,8,8,0,,2,0,3,3,8,,6,6,0,,1,0,2,3,6,,,,,,,,,,,,,,,,,,,,
,Castilla y León,200,200,0,,54,72,44,30,200,,196,196,0,,51,72,40,33,196,,186,186,0,,46,70,38,32,186,,174,173,1,,45,61,35,32,173,,177,177,0,,48,61,34,34,177,,176,176,0,,48,60,34,34,176,,163,163,0,,44,58,26,35,163,,162,162,0,,44,57,26,35,162,,160,160,0,,44,57,25,34,160,,153,153,0,,41,52,27,33,153,,155,146,9,,39,48,26,33,146,,,,,,,,,,,,,,,,,,,,
,Ávila,9,9,0,,1,4,1,3,9,,9,9,0,,1,4,1,3,9,,10,10,0,,1,5,1,3,10,,10,10,0,,1,5,1,3,10,,10,10,0,,1,5,1,3,10,,10,10,0,,1,5,1,3,10,,10,10,0,,1,5,1,3,10,,10,10,0,,1,5,1,3,10,,11,11,0,,1,6,1,3,11,,11,11,0,,1,6,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burgos,16,16,0,,1,4,4,7,16,,15,15,0,,1,4,2,8,15,,14,14,0,,0,4,2,8,14,,13,13,0,,0,4,1,8,13,,13,13,0,,0,4,1,8,13,,12,12,0,,0,3,1,8,12,,12,12,0,,0,3,1,8,12,,12,12,0,,0,3,1,8,12,,11,11,0,,0,3,1,7,11,,10,10,0,,0,2,1,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,León,34,34,0,,4,17,9,4,34,,34,34,0,,4,18,8,4,34,,33,33,0,,4,17,8,4,33,,31,31,0,,3,14,10,4,31,,31,31,0,,3,14,10,4,31,,31,31,0,,3,14,10,4,31,,29,29,0,,3,14,8,4,29,,29,29,0,,3,14,8,4,29,,29,29,0,,3,14,8,4,29,,29,29,0,,3,14,8,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Palencia,11,11,0,,5,3,2,1,11,,11,11,0,,4,3,1,3,11,,10,10,0,,3,4,1,2,10,,8,8,0,,2,2,1,3,8,,9,9,0,,3,2,1,3,9,,9,9,0,,3,2,1,3,9,,9,9,0,,3,2,1,3,9,,9,9,0,,3,2,1,3,9,,9,9,0,,3,2,1,3,9,,8,8,0,,2,2,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salamanca,58,58,0,,34,17,4,3,58,,56,56,0,,33,16,4,3,56,,52,52,0,,31,15,3,3,52,,49,49,0,,30,13,3,3,49,,50,50,0,,31,13,3,3,50,,50,50,0,,31,13,3,3,50,,44,44,0,,28,11,2,3,44,,44,44,0,,28,11,2,3,44,,45,45,0,,29,11,2,3,45,,43,43,0,,27,11,2,3,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Segovia,15,15,0,,2,3,8,2,15,,15,15,0,,2,3,8,2,15,,15,15,0,,2,3,8,2,15,,15,15,0,,2,4,6,3,15,,15,15,0,,2,4,6,3,15,,15,15,0,,2,4,6,3,15,,15,15,0,,2,4,6,3,15,,15,15,0,,2,4,6,3,15,,14,14,0,,2,4,5,3,14,,12,12,0,,2,2,5,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soria,17,17,0,,1,8,6,2,17,,17,17,0,,1,8,6,2,17,,16,16,0,,1,7,6,2,16,,17,17,0,,3,6,5,3,17,,18,18,0,,3,7,5,3,18,,18,18,0,,3,7,5,3,18,,17,17,0,,3,7,4,3,17,,17,17,0,,3,7,4,3,17,,17,17,0,,3,7,4,3,17,,17,17,0,,3,6,5,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valladolid,18,18,0,,4,6,4,4,18,,17,17,0,,3,6,4,4,17,,15,15,0,,2,6,3,4,15,,14,13,1,,2,6,2,3,13,,14,14,0,,2,6,2,4,14,,14,14,0,,2,6,2,4,14,,10,10,0,,1,5,0,4,10,,9,9,0,,1,4,0,4,9,,8,8,0,,0,4,0,4,8,,8,8,0,,0,4,0,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
